name,address,latitude,longitude
Ресторант Ниагара (Taulia-Corporate),ж.к. Дружба 2 ул. Обиколна до Практикер,42.64210892,23.40757561
Сладкарница Daisy Оазис 4,ул. Македония 107,42.11678042,24.73609308
Stella's Box,ул.Македония 102,43.21179465,27.91656625
Ресторант Fratelli (Сливница),Ул.Константин Величков 55,43.21627715,27.90357832
Yakub Delicious,ул. Победа 40,42.158659,24.738268
Ветрило (Борово),"ж.к. ""Борово"", ул. Солун, с/у блок 43",42.67160416,23.28969574
Glory Bar & Dinner,ул. Пирински проход 24А,42.67474365,23.28541756
Sevina,ул. Месембрия 30А,42.6583422,27.7359934
Siracusa Bar & Grill,ж.к. Дружба 2 срещу блок  311,42.6470943,23.405644
Куцото Пиле (Corporate),ул. Роза 26,43.2233795,27.914491
Burger Point (Бургас),бул. Транспортна 23 - Кауфланд (Изгрев),42.53141853,27.46119488
Sushi Express (Ангел Кънчев),ул. Ангел Кънчев 35,42.68949929,23.32189113
Massa Kitchen,ул.Академик Андрей Сахаров  2,43.21726608,27.89834213
Бърза Закуска АИКО (Бургас),бул.Янко Комитов 8,42.51409531,27.45259094
Еш - Беш,ул.Професор Илия Янулов 1а,43.0777362,25.60696225
Ресторант Радилон,ул. Захари Стоянов 34,43.8492442,25.9811148
Green Deli Delivery (Лозенец),ул. Хенрик Ибсен 13,42.6588586,23.3147281
Cake Collection,ул. Родопи 113,42.13677161,24.75967694
Цукерня Савенко,ул. Георги С. Раковски 59,42.70270564,23.32923834
StepUp,ул. Витиня 2,42.7104275,23.3680314
,,,
Бай Дюнер,бул. Стефан Стамболов 2,42.69856224,23.31606209
Tabla,Ангел Кънчев 11,42.69184113,23.3210907
Nebo,ул. Шипка 34,42.69296429,23.34053749
Ред Хот,"ул. ""Студентска"" 1",43.22247314,27.9374218
Bar and Grill Grillo,"ул. ""Проф. Цветан Лазаров"" 13",42.67905045,23.3842392
Americano Burgers & Grill,ул. Васил Левски 18,42.49849085,27.46883707
Family Pizza&Restaurant,"Ул. Д-р Лудвиг Заменхов, до Блок 86",42.70503021,23.3699435
Бомбай Къри,ул. Професор Атанас Иширков 11,42.64626951,23.34099693
Graphite Bar & Dinner,ул. Скопие 112,42.1259249,24.7564628
Subway Пловдив (Corporate),бул. Руски 54 Марково Тепе Мол  ет.3,42.14101028,24.74111938
Kish,ж.к. Лазур ул. Адам Мицкевич 3,42.50063298,27.47897655
Коми Бургер,"ул. Русалски лък 1, пазар Герена",42.70282908,23.36076747
Boss Burger,бул. Черни връх 100 мол Парадайс ет2,42.65723324,23.3139289
Burger Bar Joy,ул. Царевец 19,42.13452964,24.71631328
Tasty Bar & Pizza,ул. Константин Иречек 1,42.14847104,24.74827519
Оризовото кралство,"ж.к..Лозенец , ул.Вежен 12А",42.6754951,23.31967161
,,,
Edison Bar & Dinner,ул. Едисон 9-11,42.68627167,23.36009216
Бърза закуска при Мимето,ул. Цанко Дюстабанов 18 Варна,43.22036857,27.90242238
,,,
Ресторант Двете сърнета,парк Кайлъка,43.3840346,24.628208
Пица Лъчони (Света Троица),ж.к. Света Троица до бл.354,42.71181741,23.29510063
